id 名字 等级 是否BOSS 怪物类型 地图 掉落
3210800 猴子 37 0 0 100040101,100040102,100040103,100040110,105040301,107000401,107000402,110010000,110020000 1002038,1002136,1002172,1040075,1041050,1041094,1051014,1060064,1061046,1072109,1072116,1072300,1082192,1092013,1302003,1402010,1452022,1462014,1472017,2000002,2000003,2041010,2044414,2070003,2070008,2382029,4000021,4000026,4000029,4003004,4010004,4020003,4020004,4030012,4130001,4130008,4130010,2022245,4031865,4031866 move,stand,attack1,jump,hit1,die1
3220000 树妖王 35 1 4 101030404 1002098,1002154,1002170,1002185,1002628,1040080,1040084,1040085,1041076,1041083,1041086,1050039,1051026,1052113,1072087,1072107,1072117,1072118,1072126,1072300,1082025,1082064,1082073,1082074,1082195,1322027,2000001,2000003,2012002,2040402,2040502,2040602,2040701,2040801,2040901,2041001,2041004,2041010,2041016,2041017,2043001,2043101,2043201,2044002,2044112,2044201,2044412,2060000,2061000,2070009,2388025,4000003,4000005,4000018,4000195,4003001,4010000,4020001,2022245,4031865,4031866 move,stand,attack1,attack2,skill1,hit1,die1
3220001 大宇 38 1 4 260010201 1032013,1082025,1082064,1082073,1082074,1082195,1302063,2000001,2000003,2022155,2040004,2040501,2040504,2040516,2040801,2041004,2041007,2043801,2044001,2044201,2044601,2044801,2388029,4000329,4000330,4000331,4010002,4010007,4020003,2022245,4031865,4031866 move,stand,attack1,skill1,hit1,die1
3230100 风独眼兽 35 0 1 101020010,105040100,105040200 1002025,1002143,1002180,1040021,1040063,1040079,1050045,1051025,1060016,1060052,1060069,1061069,1302020,1302030,1322003,1432003,1442024,1482004,1482005,1492006,2000002,2000003,2002005,2044502,2044902,2060000,2061000,2330001,2382018,4000013,4001004,4010005,4020006,4030012,4031239,4130006,4130012,4130017,2022245,4031865,4031866 move,stand,jump,hit1,die1
3230101 小幽灵 35 0 7 103000103,103000104,103000200,103000201 1040080,1050022,1051008,1051010,1072114,1072118,1082047,1082056,1082069,1412004,1452000,1472016,1492005,2000002,2040005,2040027,2043301,2048000,2048001,2048002,2070002,2382019,4000035,4004000,4007000,4007003,4010003,4020004,4130007,4130014,2022245,4031865,4031866 move,stand,jump,hit1,die1
3230102 红螃蟹 37 0 3 110010000,110020000,110020001,110030000,110030001 1040080,1041074,1050000,1050038,1060068,1061069,1072113,1072121,1072297,1082056,1082074,1092014,1302017,1302020,1302030,1322021,1322022,1322023,1322024,1332020,1382017,1442001,1442027,1442028,1452005,1482006,1492021,2000002,2000003,2040024,2040423,2043301,2044802,2048002,2048005,2382030,4000043,4006001,4010005,4020000,4030012,4130011,4130015,2022245,4031865,4031866 move,stand,jump,hit1,die1
3230103 吹泡泡鱼皇 38 0 8 221021200,221021300 1002025,1002093,1002154,1002625,1032011,1040083,1041082,1050045,1060072,1061081,1072078,1072105,1082035,1442003,1452006,1472011,2000002,2000003,2002007,2040302,2044112,2048002,2060000,2061000,2382033,4000100,4004000,4020001,4020003,4130001,4130011,4131013,2022245,4031865,4031866 move,stand,jump,attack1,hit1,die1
3230104 胖球鱼 32 0 0 230020000,230020100 1002023,1002135,1002184,1041050,1041052,1041056,1051014,1061046,1061048,1061052,1072114,1082023,1082073,1322026,1332020,1382018,1402006,1482004,2000002,2022040,2040701,2040801,2044212,2070002,2382007,4000167,4010001,4020000,4030012,4031209,4031263,4130000,4130003,4130005,2022245,4031865,4031866 fly,hit1,die1
3230200 星光精灵 35 0 5 200010000,200020000,200040000,200050000 1002152,1002176,1002625,1041065,1051027,1061060,1072102,1072106,1082005,1082050,1092007,1092008,1302009,1302017,1322027,1432008,1432012,1452007,1462014,2000002,2000003,2040902,2041005,2041012,2044807,2060000,2061000,2382020,4000059,4003004,4004001,4006000,4007000,4010001,4020000,4030012,4031309,4130009,4130014,2022245,4031865,4031866 move,stand,jump,attack1,hit1,die1
3230300 幼魔精灵 35 0 5 101040001,103000905,103000909,105040100,105040303,105040304,105040305 2000002,2000003,2382021,4000067,4004000,4004001,4004002,4004003,4010001,4020000,2022245,4031865,4031866 move,skill1,stand,hit1,die1
3230302 吹泡泡双鱼 35 0 8 221020800,221020900,221021200,221021300,221021700,221021800,221021900,221022000 1002141,1040075,1040082,1051009,1052110,1060064,1060071,1072040,1072078,1422014,1442009,1462006,1472010,2000002,2000003,2041023,2060000,2061000,2382022,4000099,4001125,4004001,4004003,4010006,4020004,4030013,4031089,4130005,4130012,4130013,4131008,2022245,4031865,4031866 move,stand,jump,hit1,die1
3230303 玩具战机 37 0 0 221022400,221022500,221022600 1002092,1002145,1002168,1002181,1041081,1041084,1061080,1061083,1072091,1072104,1082046,1082080,1092021,1312005,1322003,1372003,1402003,1402010,1462007,1472018,1482005,2000002,2000003,2043301,2044312,2060000,2061000,2382031,4000104,4004001,4010005,4020004,4130009,4130010,4130012,4131007,2022245,4031865,4031866 fly,hit1,die1
3230304 运输机 38 0 0 221021100,221021400,221021500,221022500 1002167,1002183,1032018,1040000,1040084,1040086,1041076,1052110,1060073,1060075,1061071,1072000,1072129,1082010,1082082,1082085,1382018,1432003,1462005,1472012,1472015,2000002,2000003,2040302,2040316,2060000,2061000,2382034,4000105,4004003,4010001,4020005,4130002,4130007,4130017,4131005,2022245,4031865,4031866 fly,hit1,die1
3230305 木马骑兵 39 0 8 220010000,220010100,220010200,220010700,220010800 1002099,1002184,1032002,1040029,1041066,1051033,1060020,1061061,1072119,1082064,1082075,1432012,1442009,1492005,2000002,2000003,2040926,2041001,2060000,2061000,2330001,2382038,4000003,4000018,4000110,4004001,4020003,4030009,4130003,4130004,4130008,4130014,2022245,4031865,4031866 move,stand,skill1,hit1,die1
3230306 小恶魔 37 0 5 220040100,220040300 1002025,1002155,1002182,1040079,1040085,1041069,1050036,1051006,1060052,1060074,1061064,1072032,1072041,1072089,1082069,1092021,1472032,1492005,2000002,2000003,2002006,2022355,2043702,2044201,2044901,2044902,2060000,2061000,2070003,2070004,2382032,4000115,4004002,4006000,4007000,4007005,4010001,4010006,4031159,4031203,4031992,4130000,4130010,4130019,2022245,4031865,4031866 move,stand,hit1,die1
3230307 飞行雀 31 0 0 221023300,221023500,221023600 1002036,1002152,1002183,1040069,1051004,1051032,1060058,1072104,1072120,1082008,1082023,1302004,1312005,1332004,1482004,2000002,2000003,2040929,2044110,2060000,2061000,2070003,2382000,4000003,4000123,4003004,4004001,4010001,4020008,4130010,4130013,4130014,2022245,4031865,4031866 fly,hit1,die1
3230308 空军雀 39 0 0 221020500,221020600,221021100 1032011,1041085,1051033,1061084,1072107,1072115,1072120,1082010,1082065,1082073,1082083,1092012,1322003,1372000,1402006,1422008,1482005,2000002,2000003,2002008,2040902,2043210,2060000,2061000,2382037,4000003,4000116,4003005,4004002,4010001,4020001,4020008,4130004,4130005,4130006,4130015,2022245,4031865,4031866 fly,hit1,die1
3230400 打鼓兔子 30 0 8 221020500,221020600,221021400,221021500,221022400,221022500,221022600,221022700,221023200,221023300,221023401 1002144,1040025,1040074,1041033,1041049,1041084,1050011,1060063,1061045,1061083,1062006,1072132,1082053,1092008,1302013,1372000,1402008,1402010,1452022,1482020,1492004,2000002,2000003,2043201,2044414,2044901,2044902,2060000,2061000,2070002,2382001,4000127,4004004,4006001,4007002,4007004,4010001,4020007,4030009,4031135,4031140,4130001,4130008,4130012,4130013,4130015,2022245,4031865,4031866 move,stand,hit1,die1
3230405 小海豹 38 0 0 230010000,230010100 1002177,1040073,1051023,1060062,1072122,1072128,1082009,1082054,1082192,1302009,1312007,1332011,1332031,1372012,2000002,2000003,2002005,2022040,2040302,2040707,2044410,2060000,2061000,2382035,4000154,4010000,4010001,4020002,4031209,4130009,4130013,4131005,2022245,4031865,4031866 move,stand,hit1,die1
3300000 得意的蘑菇仔 30 0 0 106020100,106020200,106020300 1002156,1002622,1032007,1040000,1060075,1072078,1082046,1332020,1402010,2000002,2000003,2043216,2043311,2044701,2060000,2061000,2382092,4000499,4010005,4020000,4130005,4130009,4130021,2022245,4031865,4031866 move,stand,hit1,die1
3300001 紫色毒蘑菇 30 0 0 106020100,106020200,106020300,106020400,106020401 1002156,1002622,1032007,1040000,1060075,1072078,1082046,1332020,1402010,2000002,2000003,2044024,2044116,2044701,2060000,2061000,2382093,4000500,4000507,4010005,4010007,4020000,4130005,4130009,4130021,2022245,4031865,4031866 move,stand,hit1,die1
3300002 中毒的猪猪 31 0 0 106020401,106020402 1002013,1040058,1041058,1050030,1052107,1060044,1061054,1072101,1322014,1462000,2000002,2000003,2040701,2044216,2044316,2060000,2061000,2382094,4000501,4004001,4010001,4020000,4131003,2022245,4031865,4031866 move,stand,hit1,die1,jump
3300003 戴头盔的企鹅兵 32 0 0 106020700,106020800,106021000,106021001,106021100 1002023,1002163,1002625,1032010,1040062,1041042,1051015,1060051,1061035,1072110,1072119,1082063,1302004,1332014,2000002,2000003,2043711,2044416,2060000,2061000,2330001,2382095,4000502,4001317,4020000,4020001,4130000,4130014,4130017,4131008,2022245,4031865,4031866 move,stand,hit1,die1
3300004 亲卫队企鹅兵 33 0 0 106021100,106021200,106021300 1002023,1002163,1002625,1032010,1040062,1041042,1051015,1060051,1061035,1072110,1072119,1082063,1302004,1332014,2000002,2000003,2044611,2044711,2044816,2060000,2061000,2330001,2382096,4000503,4020000,4020001,4130000,4130014,4130017,4131008,2022245,4031865,4031866 move,stand,hit1,die1,attack1
3300005 灰雪人与企鹅王 35 1 0 106021500 1032013,1082025,1082064,1082073,1082074,1082195,2000001,2000003,2022570,2022571,2022572,2022573,2022574,2040004,2040501,2040504,2040801,2041004,2041007,2043216,2043311,2043711,2043801,2043811,2044001,2044024,2044116,2044201,2044216,2044316,2044416,2044511,2044601,2044611,2044711,2044801,2044816,2388067,4000504,2022245,4031865,4031866 move,stand,attack1,skill1,hit1,die1
3300006 金雪人与企鹅王 35 1 0 106021500 1002098,1002154,1002170,1002185,1002628,1040080,1040084,1040085,1041076,1041083,1041086,1050039,1051026,1052113,1072107,1072117,1072118,1072126,1072300,1082025,1082064,1082073,1082074,1082195,2000001,2000003,2022575,2022576,2022577,2022578,2022579,2040402,2040502,2040602,2040701,2040801,2040901,2041001,2041004,2041010,2041016,2041017,2043001,2043101,2043201,2043216,2043311,2043711,2043811,2044002,2044024,2044112,2044116,2044216,2044316,2044412,2044416,2044511,2044611,2044711,2044816,2060000,2061000,2070009,2388068,4000506,2022245,4031865,4031866 move,stand,attack1,skill1,hit1,die1
3300007 白雪人与企鹅王 35 1 0 106021500 1002049,1002073,1002150,1002159,1002619,1040023,1040025,1040041,1040050,1041024,1041033,1041060,1050025,1051005,1052104,1072052,1072069,1072074,1072087,1072291,1082001,1082018,1082028,1082039,1082186,2000000,2010009,2020014,2022580,2022581,2022582,2022583,2022584,2040001,2040002,2040301,2040302,2040401,2040402,2040418,2040419,2040501,2040601,2040928,2041016,2043114,2043116,2043201,2043216,2043302,2043311,2043701,2043702,2043711,2043801,2043811,2044001,2044024,2044116,2044216,2044316,2044414,2044416,2044511,2044611,2044711,2044801,2044816,2044902,2060000,2061000,2070000,2330000,2388069,4000505,4010000,4020000,2022245,4031865,4031866 move,stand,attack1,skill1,hit1,die1
3300008 蘑菇大臣 38 1 8 106021700 1302010,1312008,1322017,1332003,1372007,1382006,1402003,1412003,1422005,1432004,1442005,1452008,1462007,1472021,1482007,1492007,2000002,2000003,2002002,2002003,2040301,2040504,2040514,2040707,2040801,2040901,2040928,2040931,2041002,2041016,2041017,2043216,2043311,2043702,2043711,2043801,2043811,2044024,2044101,2044116,2044216,2044302,2044316,2044416,2044511,2044601,2044611,2044701,2044711,2044802,2044816,2044901,2044902,2060000,2061000,2388070,4001318,4010005,4020005,2022245,4031865,4031866 move,stand,attack1,skill1,hit1,die1
4110300 螺母 42 0 8 261020600,261020700 1002045,1002085,1002213,1032012,1040084,1040096,1041067,1041076,1050037,1052116,1060073,1060085,1061062,1412005,1452007,2000002,2000003,2000004,2041019,2060000,2061000,2330002,2382057,4000357,4004004,4007002,4007004,4010006,4020007,4030012,4130002,4130012,4130013,4130022,2022245,4031865,4031866 move,stand,hit1,die1
4110301 强化版螺母 45 0 8 261020700 1002085,1041077,1052116,1082010,1382001,2000002,2000003,2040504,2044002,2060000,2061000,2382072,4000358,4004000,4007000,4007005,4007006,4010002,4010004,4130007,4130012,2022245,4031865,4031866 move,stand,hit1,die1
4110302 蓝变异螺母 47 0 8 261020100,261020200 1002215,1040089,1050045,1082198,1372007,2000002,2000003,2040001,2044102,2383007,4000359,4004002,4006001,4007001,4007006,4020000,4020006,4130012,2022245,4031865,4031866 move,stand,hit1,die1
4130100 土龙 45 0 1 105090000 1002045,1002138,1040079,1050022,1050046,1052113,1060069,1072125,1072133,1082064,1302010,1322016,1332016,1382001,1472012,1472032,2000002,2000003,2000004,2040025,2040621,2044014,2044702,2382065,4000014,4000030,4006001,4010005,4020008,4130006,4130016,4130019,2022245,4031865,4031866 move,stand,hit1,die1
4130101 乌龟 46 0 1 110030001,110040000 1002152,1002183,1041079,1041081,1041089,1061078,1061080,1061088,1072124,1072142,1072303,1092004,1322021,1322026,1402003,1442016,1442027,1442028,1472016,1472030,2000002,2000003,2000004,2040805,2040923,2041013,2383001,4000045,4010002,4020001,4030012,4130003,4130005,4130009,2022245,4031865,4031866 move,stand,attack1,hit1,die1
4130102 黑食人花 47 0 4 200040001 1002092,1040080,1040095,1040096,1041087,1051027,1060068,1060084,1060085,1061086,1072110,1072132,1082063,1082084,1302013,2000002,2000003,2000004,2041014,2044201,2383003,4000062,4004000,4004004,4006001,4010003,4020006,4130000,4130003,4130013,2022245,4031865,4031866 regen,stand,attack1,hit1,die1
4130103 战甲吹泡泡鱼 47 1 8 221020701 1040063,1041080,1051032,1060052,1072129,1072140,1082071,1082085,1312008,1372007,1372012,1432004,1442009,1462006,1472013,1472019,1492007,2000002,2000004,2040902,2043210,2060000,2061000,2383004,4000124,4004002,4005002,4006000,4010000,4020000,4020007,4020008,4030012,4130002,4130004,4130012,4131009,2022245,4031865,4031866 move,stand,attack1,hit1,die1,skill1
4220000 歇尔夫 45 1 0 230020100 1302010,1312008,1322017,1332003,1332016,1372007,1382006,1402003,1412003,1422005,1432004,1442005,1442018,1442039,1452008,1462007,1472020,1482007,1492007,2000002,2000003,2040029,2040301,2040302,2040326,2040516,2040517,2040704,2040705,2040804,2040805,2041007,2041008,2044809,2388030,4000166,4000167,4010002,4010003,4020004,4032474,2022245,4031865,4031866 stand,attack1,attack2,skill1,hit1,die1
4230100 冰独眼兽 40 0 1 105040303,105090301,105090310,105090400,105090500,105090600,105090700,105090800 1002098,1002103,1002166,1002169,1032008,1041075,1060057,1061070,1072090,1072132,1072140,1082066,1412004,1422014,1462004,1472013,1472017,2000002,2000003,2000006,2040001,2044412,2070002,2070010,2382039,4000023,4010001,4010005,4010006,4030012,4031212,4130004,4130005,4130009,2022245,4031865,4031866 move,stand,jump,hit1,die1
4230101 僵尸猴 40 0 7 100040101,100040103,100040104,100040105,100040106,105040302,107000402,107000403 1002080,1002151,1002185,1002628,1040000,1040074,1041068,1041086,1050039,1051001,1051009,1060063,1061085,1082037,1302013,1332003,1332025,1382001,1382012,1442003,1442005,1462006,1462007,1472015,1472030,2000002,2000003,2044314,2382040,4000031,4003004,4007000,4007001,4007002,4007003,4007004,4007005,4007006,4007007,4010005,4020001,4130000,4130005,4130012,2022245,4031865,4031866 move,stand,attack1,jump,hit1,die1
4230102 大幽灵 48 0 7 103000104,103000105,103000201,103000202 1002099,1002207,1002211,1002212,1002215,1032008,1040061,1040085,1060050,1060074,1072114,1072141,1072303,1082066,1302013,1302030,1472030,2000002,2000003,2000004,2020028,2040026,2330002,2383008,4000036,4004004,4006001,4007000,4007003,4007006,4010001,4020000,4030012,4130007,4130008,4130018,2022245,4031865,4031866 move,stand,jump,hit1,die1
4230103 铁甲猪 42 0 0 106000120,106000130 1002151,1002179,1050051,1050052,1051034,1072114,1072121,1082076,1092014,1312006,1322017,1332001,1442001,1452016,1452022,1472009,1472019,2000002,2000003,2000004,2040027,2060000,2061000,2382053,4000039,4010001,4010003,4020005,4130007,4130008,2022245,4031865,4031866 move,stand,skill1,jump,hit1,die1
4230104 青螃蟹 48 0 3 110030000,110030001,110040000 1002025,1002085,1002217,1040083,1040095,1041079,1041081,1041082,1041087,1060072,1060084,1061078,1061081,1061086,1302016,1382001,1412003,1442011,1482007,2000003,2000004,2040427,2043201,2043202,2383009,4000044,4010003,4020002,4130005,4130015,4130017,2022245,4031865,4031866 move,stand,jump,hit1,die1
4230105 食人花 42 0 4 200040001 1002098,1002182,1040083,1041083,1050048,1051038,1060072,1061082,1072103,1072130,1082011,1332020,1382019,1442024,1472015,2000002,2000003,2022039,2041001,2041011,2044501,2382052,4000058,4004003,4007001,4010000,4020003,4130004,4130013,2022245,4031865,4031866 regen,stand,attack1,hit1,die1
4230106 月光精灵 45 0 5 200020000,200040000,200050000,200070000,200080000 1002210,1002216,1002628,1040081,1040086,1041080,1050052,1051032,1060070,1060075,1061079,1072118,1082036,1082045,1082201,1092007,1302016,1452016,2000002,2000003,2040319,2040705,2041012,2044114,2044214,2060000,2061000,2070002,2382064,4000060,4003004,4004001,4006000,4007002,4010004,4020005,4030012,4031309,4130003,4130007,4130009,2022245,4031865,4031866 move,stand,jump,attack1,skill1,hit1,die1
4230107 独眼蝙蝠 41 0 0 211041500,211041600,211041700,211041800,211041900,230040410 1040030,1040072,1040082,1050035,1050049,1051027,1051030,1060020,1060061,1060071,1072129,1072134,1082063,1082072,1332020,1452008,2000002,2000003,2041014,2043202,2382047,4000076,4003004,4004002,4006000,4007005,4010005,4020004,4020007,4030012,4130005,4130015,2022245,4031865,4031866 fly,hit1,die1
4230108 小猎犬 43 0 0 211042000,211042100,211042101,211042200 1002086,1002209,1002218,1040087,1041082,1041095,1050031,1061081,1072108,1072113,1082073,1422007,1432008,1442005,1472018,2000002,2000003,2040623,2041017,2060000,2061000,2070002,2382058,4000021,4000078,4003004,4004003,4010001,4020006,4130010,4130011,2022245,4031865,4031866 move,stand,hit1,die1
4230109 黄积木怪 42 0 8 221020300,221020400,221020700,221020701,221020800,221020900 1002154,1002167,1002180,1032018,1040087,1050037,1051024,1060076,1072117,1082070,1092004,1402002,1452016,1462007,1462014,1462019,1472017,1482006,2000002,2000003,2040901,2043212,2044414,2060000,2061000,2382054,4000101,4004002,4010001,4030012,4130000,4130005,4130010,4130014,2022245,4031865,4031866 move,stand,hit1,die1
4230110 青积木怪 45 0 8 221020400,221020700,221020701 1002004,1002144,1002170,1002181,1040082,1040088,1041067,1041084,1060071,1060077,1061062,1061083,1072135,1082081,1082083,1082195,1302013,1462019,2000002,2000004,2040504,2040618,2040627,2040931,2044002,2044014,2044301,2044902,2060000,2061000,2382066,4000102,4004000,4020008,4030012,4130002,4130010,4130011,2022245,4031865,4031866 move,stand,hit1,die1
4230111 女机器人 41 0 8 220020100,220020400,220020500,220020600,220030100,220030300,220030400 1002021,1002153,1002155,1002168,1002628,1041051,1050021,1051007,1061047,1072116,1072123,1072127,1082025,1302010,1472018,1472032,2000002,2000003,2040602,2040926,2043302,2044010,2060000,2061000,2382048,4000111,4004001,4010002,4010004,4030012,4130003,4130006,4130011,4130015,2022245,4031865,4031866 move,stand,hit1,die1
4230112 男机器人 44 0 8 220020000,220020100,220030000,220030100 1002169,1002214,1040097,1051026,1060086,1072000,1072101,1072110,1082025,1302010,1302016,1402003,1412003,1472020,1472032,1492007,2000002,2000004,2002008,2040004,2040502,2060000,2061000,2382062,4000112,4004001,4030012,4031115,4130003,4130010,2022245,4031865,4031866 move,stand,hit1,die1
4230113 闹钟啾啾 40 0 5 220040200,220050100 1002047,1002139,1002142,1032018,1040061,1051025,1052113,1060050,1072108,1082023,1082071,1322017,1332016,1372007,1382001,1382019,1452016,2000002,2000003,2022354,2040401,2043102,2044701,2060000,2061000,2382041,4000114,4004003,4007004,4010003,4031098,4031675,4031992,4130008,4130013,4130017,2022245,4031865,4031866 move,stand,hit1,die1
4230114 恶魔之父 41 0 5 220040000,220050000 1002143,1002176,1002177,1002178,1040076,1040085,1050036,1052113,1060065,1060074,1072116,1082074,1092013,1092029,1092030,1312008,1382012,1402007,1432004,2000002,2000003,2002010,2040804,2060000,2061000,2382049,4000115,4004000,4007000,4020007,4031203,4031992,4130006,4130009,4130015,4130016,4130017,2022245,4031865,4031866 move,stand,attack1,hit1,die1
4230115 恶魔之母 46 0 5 220040400,220050200 1040079,1041088,1050045,1050049,1060069,1060075,1061087,1072000,1072118,1072141,1082065,1082069,1302020,1302030,1372007,1422005,1472021,1482007,2000002,2000004,2002010,2040029,2040617,2040931,2043802,2044102,2044214,2044216,2060000,2061000,2070004,2383002,4000115,4004003,4006001,4007000,4007002,4007006,4020000,4020006,4030012,4031203,4031992,4130011,4130012,4130015,4130016,2022245,4031865,4031866 move,stand,attack1,hit1,die1
4230116 白外星人卫兵 40 0 5 221040000,221040100,221040200,221040201 1002028,1002211,1040084,1050047,1060073,1072109,1072120,1082062,1082195,1092007,1302016,1322015,1372001,1402006,1482020,2000002,2000003,2002009,2040704,2041005,2060000,2061000,2382042,4000117,4004002,4010001,4010004,4020007,4030012,4031103,4031674,4031926,4130007,4130017,4131012,4131013,2022245,4031865,4031866 move,stand,jump,attack1,hit1,die1
4230117 白外星人队长 42 0 0 221040100,221040200,221040300 1002208,1002212,1002217,1040080,1041085,1050049,1060068,1061084,1082008,1082036,1082047,1092020,1312008,1332003,1332025,1492006,2000002,2000003,2002007,2040707,2060000,2061000,2070002,2382055,4000118,4004000,4010003,4020007,4031104,4031926,4130001,4130009,4130010,2022245,4031865,4031866 fly,attack1,hit1,die1
4230118 白外星人长官 45 0 5 221040300,221040301,221040400 1002024,1002155,1032012,1040000,1041068,1041075,1050038,1060075,1061063,1061070,1072143,1072300,1082024,1332003,1422005,1432012,1472021,2000002,2000004,2002007,2002009,2040031,2040802,2040931,2048011,2060000,2061000,2070004,2382067,4000119,4004001,4007007,4010002,4020006,4031105,4031926,4130002,4130004,4130006,2022245,4031865,4031866 move,stand,jump,attack1,hit1,die1
4230119 外星章鱼枪 41 0 5 221030000,221030100,221030200,221030300,221030301 1002178,1041075,1041084,1050035,1051016,1061070,1061083,1072002,1072124,1072131,1082025,1082067,1082068,1082080,1082195,1092019,2000002,2000003,2002006,2040804,2044110,2060000,2061000,2330001,2382050,4000120,4004003,4007003,4007004,4007007,4010005,4020002,4031090,4031206,4130001,4130006,4130012,4130013,4130021,4131004,2022245,4031865,4031866 move,stand,jump,attack1,hit1,die1
4230120 外星章鱼坦克 44 0 8 221030100,221030200,221030300,221030400,221030401,221030500,221030600,221030601 1002135,1002141,1040084,1041081,1041086,1051030,1051031,1051039,1060073,1061071,1061080,1061085,1072131,1082084,1412011,1432004,1452008,1482007,2000002,2000004,2040324,2040530,2040804,2060000,2061000,2382061,4000121,4004000,4004001,4006001,4020003,4030012,4130001,4130002,4131004,2022245,4031865,4031866 move,stand,jump,hit1,die1
4230121 外星章鱼激光棒 46 0 5 221030300,221030400,221030500,221030501,221030600,221030601 1002155,1002184,1040089,1041053,1041077,1051015,1051024,1060078,1061049,1061076,1082047,1082072,1082198,1372007,1412003,1442016,1452008,1452022,2000002,2000004,2002008,2043802,2044901,2060000,2061000,2383000,4000122,4004000,4020004,4020005,4030012,4130000,4130006,4130013,4131012,2022245,4031865,4031866 move,stand,jump,attack1,hit1,die1
4230123 小海象 43 0 0 230010300,230010400 1002024,1041083,1061082,1082198,1382012,1442009,1452008,1472017,2000002,2000003,2002004,2044501,2044801,2044805,2048004,2060000,2061000,2070002,2382059,4000156,4000157,4003004,4004003,4020004,4020008,4030012,4031209,4031266,4130008,4130015,2022245,4031865,4031866 move,stand,hit1,die1,attack1
4230124 小海狮 42 0 0 230010200,230010400 1002045,1002085,1002213,1002631,1032012,1040084,1040096,1041067,1041076,1050037,1060073,1060085,1061062,1302030,1382018,1412005,1452007,2000002,2000003,2000004,2040901,2041019,2060000,2061000,2382056,4000155,4000157,4004004,4007002,4010006,4020002,4020007,4030012,4031209,4031267,4130008,4130012,4130014,2022245,4031865,4031866 move,stand,hit1,die1,attack1
4230125 骷髅犬 44 0 7 101030105,101030106,101030107 1002047,1002081,1002144,1002178,1050052,1072108,1072118,1072126,1332016,1382019,1422007,2000002,2000003,2040705,2040824,2040929,2044301,2060000,2061000,2070002,2382063,4000204,4006000,4010000,4010004,4020007,4130002,4130011,2022245,4031865,4031866 move,stand,jump,hit1,die1
4230126 木乃伊犬 47 0 7 101030105,101030106,101030107 1002631,1041079,1041082,1041084,1050048,1051032,1060069,1060075,1082010,1082059,1082066,1082089,1082092,2000002,2000003,2000004,2040419,2040425,2040705,2041014,2044201,2060000,2061000,2383005,4000205,4006000,4006001,4010003,4020003,4020006,4130004,4130008,4130012,2022245,4031865,4031866 move,stand,jump,hit1,die1
4230200 蓝刺豚 40 0 0 230010000,230010001 1002170,1002207,1002215,1040000,1040094,1041088,1051027,1051038,1060000,1060083,1061087,1072110,1072112,1072300,1432005,1462006,1472014,2000002,2000003,2022040,2040001,2040620,2040704,2040707,2040801,2044310,2382043,4000158,4004001,4007001,4010002,4010003,4031209,4031265,4130003,4130007,2022245,4031865,4031866 fly,attack1,hit1,die1
4230201 紫刺豚 40 0 0 230010100,230010200,230010300 1002137,1041074,1041078,1051031,1051037,1061069,1061077,1072102,1072106,1072126,1072140,1082011,1082024,1082055,1462006,2000002,2000003,2002004,2022040,2040417,2040801,2040901,2048001,2060000,2061000,2382044,4000159,4004002,4010004,4020003,4031209,4130006,4130016,2022245,4031865,4031866 fly,attack1,hit1,die1
4230300 月妙 45 0 0 222010000,222010001,222010002 1032011,1040040,1072087,1072109,1072112,1082072,1092014,1102001,1302016,1312007,1442024,1482006,2000002,2000003,2000004,2040029,2040417,2040705,2040707,2044202,2060000,2061000,2070002,2382068,4000021,4000169,4004001,4006000,4010004,4020005,4031241,4130009,4130015,4130017,2022245,4031865,4031866 move,stand,attack1,chase,hit1,die1
4230400 钢甲猪 45 0 0 101040003 1002184,1032018,1041082,1050047,1061081,1072116,1072126,1082071,2000002,2000003,2000004,2040923,2044001,2060000,2061000,2382069,4000178,4004001,4010001,4020007,4020008,4130001,4130010,4130011,2022245,4031865,4031866 move,stand,jump,hit1,die1
4230500 松松 40 0 0 250010000,250010100 1002023,1002092,1002103,1002155,1041066,1041095,1050038,1051016,1061061,1061094,1482006,1482021,2000002,2000003,2040001,2060000,2061000,2330001,2382045,4000021,4000276,4010001,4010006,4130004,4130014,4130016,2022245,4031865,4031866 move,stand,hit1,die1
4230501 豪猪 41 0 0 250010000,250010100,250010200 1002217,1032018,1051026,1061076,1072110,1072300,1472018,2000002,2000003,2040420,2040901,2060000,2061000,2382051,4000277,4000290,4004002,4004003,4010001,4130000,4130009,4130011,2022245,4031865,4031866 move,stand,hit1,die1
4230502 灰豪猪 43 0 5 250010100,250010200,250010300 1002024,1041083,1061051,1061082,1072303,1382009,1442009,1452008,2000002,2000003,2040823,2043114,2044501,2048004,2060000,2061000,2070002,2382060,4000278,4000290,4004002,4004003,4007007,4010006,4020004,4020008,4130003,4130009,4130015,4130017,2022245,4031865,4031866 move,stand,hit1,die1
4230503 青花蛇 45 0 1 250010300,250010400 1002081,1032008,1040089,1050052,1060078,1102001,1422014,1492006,2000002,2000003,2040705,2044410,2060000,2061000,2382070,4000280,4000281,4004001,4010004,4020005,4130001,4130007,2022245,4031865,4031866 move,stand,hit1,die1
4230504 红花蛇 45 0 1 250010300,250010400 1002085,1002631,1041077,1082010,1382001,2000002,2000003,2040504,2044002,2044310,2060000,2061000,2330002,2382071,4000279,4000281,4004000,4010002,4010004,4130002,4130013,2022245,4031865,4031866 move,stand,hit1,die1
